,0,1
0,-0.4340922,0.10372245
1,0.70534664,-0.31075802
2,-0.9194068,0.3634022
3,-0.6636286,-0.46896294
4,-0.43157917,0.83808005
5,0.34273788,0.2122879
6,-0.33443892,-0.52280015
7,-0.959505,0.90434074
8,-0.5626153,0.060698655
9,-0.22512397,0.36131597
10,-0.43008742,-0.02217701
11,-0.51367617,-0.5641935
12,0.8383711,-0.30470198
13,0.6752218,-0.9322276
14,0.25845817,-0.059905842
15,-0.6763273,-0.28041565
16,0.2994555,0.4526178
17,-0.14107206,0.26115665
18,0.9807328,0.04096877
19,-0.48033506,0.034821335
20,-0.25365528,-0.9147326
21,0.4097283,0.09425146
22,0.47860402,0.3961656
23,0.910756,0.65161204
24,-0.8018807,0.54732245
25,-0.79399663,-0.058422066
26,0.4102321,0.95961714
27,0.55557853,0.7350828
28,0.46773088,0.39082545
29,-0.5352117,-0.3412154
30,-0.46917847,-0.15522265
31,0.14377858,-0.7952861
32,0.4802378,-0.99070513
33,-0.08332383,0.047798105
34,0.73951817,-0.8970956
35,0.5189259,-0.28850615
36,-0.8452877,-0.66140324
