,0
0,0.8000129
1,-0.23829931
2,-0.1906486
3,-0.30604607
4,-0.23774394
5,-0.2849076
6,-0.6199926
7,0.011473039
8,-0.88366944
9,-0.3229434
10,0.8926676
11,-0.40275443
12,0.94450426
13,0.619734
14,-0.6017512
15,-0.36143792
16,-0.09585044
17,0.15133306
18,-0.48317054
19,-0.9697946
20,0.56342816
21,-0.3242114
22,0.7067906
23,-0.3814549
24,-0.121592246
25,-0.8350662
26,-0.89262384
27,0.064663894
28,0.4092993
29,-0.5373624
30,-0.03031587
31,-0.78615594
32,-0.2959436
33,0.75190896
34,0.004033674
35,-0.16851553
36,-0.3363441
37,0.76463753
38,0.069373496
39,-0.5833514
40,-0.89539325
41,-0.35675132
42,0.62967247
43,-0.9797586
44,-0.75996274
45,-0.80040914
46,0.35812286
47,0.95696217
48,-0.7458864
49,-0.64446974
50,0.4624711
51,0.708237
52,-0.20863225
53,0.42984965
54,-0.2953723
55,0.18414983
56,-0.42960468
57,0.96593344
58,-0.106939055
59,0.03726609
60,0.8043558
61,-0.74511236
62,-0.44143754
63,-0.9739475
64,0.8475553
65,-0.2213661
66,-0.04077275
67,0.35443985
68,0.061883308
69,-0.9109608
70,-0.76024675
71,0.008725441
72,-0.10741785
73,0.861038
74,0.6620433
75,0.4957211
76,-0.35082388
77,-0.78056824
78,-0.63806814
79,0.8252985
80,-0.72724885
81,-0.81444454
82,0.88380915
83,0.066922836
84,-0.5354581
85,-0.922091
86,-0.6211548
87,-0.17674151
88,-0.11503185
89,-0.4844501
90,-0.055485144
91,-0.14287364
92,0.4994465
93,0.20983258
94,0.292924
95,0.67324615
96,-0.05435241
97,-0.80619615
98,-0.7670122
99,0.7953806
100,0.1885321
101,-0.9506262
102,-0.34910396
103,-0.55178446
104,0.22655779
105,0.53819424
106,0.9362406
107,0.07600283
108,0.1414034
109,-0.6766858
110,-0.115196966
111,0.88656396
112,0.5625482
113,-0.46859762
114,0.9000733
115,-0.59606725
116,-0.52458674
117,0.7223961
118,0.7800809
119,0.074134834
120,-0.9832344
121,0.5633544
122,-0.57498854
123,0.5338068
124,-0.3477274
125,0.2827192
126,0.055267822
127,-0.06977171
128,-0.9707994
129,0.6289785
130,-0.56474775
131,0.6853096
132,0.754913
133,-0.55674696
134,0.11968249
135,-0.36523864
136,-0.9044614
137,0.5847418
138,-0.12832686
139,-0.79275995
140,0.9199061
141,-0.016772175
142,-0.28439048
143,0.36415377
144,0.230004
145,0.5370836
146,-0.5319642
147,0.4350167
148,0.67043585
149,-0.54904324
150,0.45296738
151,0.81166095
152,-0.8426793
153,-0.8312463
154,0.17171676
155,0.5099921
156,-0.19352342
157,0.46540192
158,-0.34346816
159,-0.41646126
160,-0.604003
161,0.842954
162,4.9830698e-05
163,0.91109055
164,0.41558594
165,0.13057904
166,-0.11865875
167,-0.42727813
168,-0.5355272
169,0.9305939
170,0.8404444
171,0.100852884
172,0.32287088
173,-0.5457137
174,0.5119364
175,0.049661204
176,-0.5482681
177,-0.20185295
178,-0.9323174
179,0.09895483
180,0.21950914
181,0.47231138
182,0.22361217
183,-0.6674554
184,-0.89105344
185,0.9918166
186,0.3383925
187,0.33956254
188,0.769518
189,-0.08265806
190,-0.28795722
191,-0.48414585
192,0.71666217
193,-0.9658518
194,0.7692869
195,0.08460984
196,-0.9186766
197,0.7450352
198,0.9803626
199,0.61367613
200,-0.13183731
201,-0.10145835
202,-0.9798304
203,-0.72480136
204,-0.6318938
205,-0.99002236
206,-0.61315376
207,-0.6813545
208,0.24533948
209,0.46722808
210,-0.37589896
211,0.14446853
212,-0.18205433
213,-0.28155756
214,-0.18356502
215,-0.5018356
216,0.44880125
217,0.20365049
218,0.96320635
219,0.12680025
220,0.9740134
221,-0.0545049
222,0.003341396
223,-0.4658173
224,-0.17666209
225,-0.5118701
226,-0.46514514
227,0.88458806
228,-0.19283931
229,0.83229536
230,-0.4734929
231,0.37628135
232,0.38066015
233,-0.6377205
234,0.52765864
235,0.19767231
236,0.44164348
237,0.83224225
238,0.44118765
239,0.39278835
240,-0.26971394
241,0.021166312
242,0.37445015
243,-0.017049866
244,-0.0699396
245,-0.9607128
246,0.4438528
247,-0.048570946
248,-0.45296493
249,-0.2263385
250,0.32574794
251,-0.76184666
252,0.6761657
253,-0.39451256
254,0.1136482
255,-0.25058225
256,-0.1423181
257,-0.9240497
258,0.98021525
259,-0.9171799
260,0.82041544
261,-0.2793563
262,0.041781086
263,0.6819613
264,0.44220653
265,0.37636316
266,0.81991315
267,0.39155048
268,0.9186396
269,0.25899735
270,0.5274655
271,-0.75470066
272,-0.45547536
273,-0.390818
274,0.9776907
275,0.8648563
276,-0.28111878
277,-0.30368498
278,0.6387453
279,-0.24486426
280,-0.85976243
281,-0.53623384
282,-0.9284655
283,-0.9163247
284,0.696198
285,-0.016508663
286,0.5667335
287,-0.07974558
288,0.35379884
289,-0.3800225
290,-0.4117525
291,-0.1765298
292,0.98187745
293,-0.18157099
294,0.66218287
295,0.761699
296,-0.3291132
297,-0.96478575
298,-0.8442059
